Length                  Avg time        Std deviation
2^20 = 1048576          0.845955ms      0.0219021
2^21 = 2097152          1.57381ms       0.219242
2^22 = 4194304          2.84332ms       0.480012
2^23 = 8388608          5.08526ms       0.458507
2^24 = 16777216         8.3371ms        0.832314
2^25 = 33554432         16.5165ms       1.71707
2^26 = 67108864         27.8151ms       1.81559
2^27 = 134217728        73.2768ms       9.56866
