Length            Avg time       Std deviation  
2^20 = 1048576    0.449293ms     0.0301127
2^21 = 2097152    0.814285ms     0.15225
2^22 = 4194304    1.32608ms      0.0287871
2^23 = 8388608    2.50158ms      0.0377251
2^24 = 16777216   4.72269ms      0.0348666
2^25 = 33554432   9.15111ms      0.0504847
2^26 = 67108864   18.1809ms      0.0344593
2^27 = 134217728  36.2698ms      0.33382
