Length			        AVX	    Avg time	Std deviation
2^20 = 1048576          true	0.2ms		0.4
2^20 = 1048576          false   1ms		    0
2^21 = 2097152          true	2ms		    0
2^21 = 2097152          false   2.3ms		0.640312
2^22 = 4194304          true	4.2ms		0.4
2^22 = 4194304          false   5ms		    0
2^23 = 8388608          true	10ms		0
2^23 = 8388608          false   10.3ms		0.458258
2^24 = 16777216         true	21.9ms		1.13578
2^24 = 16777216         false   22.2ms		0.4
2^25 = 33554432         true	43.3ms		0.640312
2^25 = 33554432         false   45.3ms		0.458258
2^26 = 67108864         true	87.8ms		1.32665
2^26 = 67108864         false   92ms		0.774597
2^27 = 134217728        true	175.1ms		1.13578
2^27 = 134217728        false   184.7ms		1.00499
2^28 = 268435456        true	347ms		1.26491
2^28 = 268435456        false   366.2ms		1.53623
2^29 = 536870912        true	636ms		1.73205
2^29 = 536870912        false   685.5ms		1.0247
